Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
532,ICICI Prudential Bond Fund Direct Plan Growth,"₹2,576.08Cr",33.27,Nil,4,2576.08,,,100.0,0.0,2419.95,6.62,ICICI Prudential Bond Fund Direct Plan Growth,Moderate,Debt,2.29,6.54,6.63,https://groww.in/mutual-funds/icici-prudential-i-come-opportunities-fund-direct-growth
533,Axis Banking &amp; PSU Debt Direct Plan Growth,"₹14,331.02Cr","2,203.92",Nil,5,14331.02,,,100.00254483,0.0,244.55,5.89838059,Axis Banking &amp; PSU Debt Direct Plan Growth,Low to Moderate,Debt,3.41,6.52,7.35,https://groww.in/mutual-funds/axis-banking-psu-debt-fund-direct-growth
534,ICICI Prudential Floating Interest Fund Direct Plan Growth,"₹12,398.93Cr",361.35,Nil,,100.0,,,99.99999966,0.0,2777.65,6.13,ICICI Prudential Floating Interest Fund Direct Plan Growth,Low to Moderate,Debt,2.78,6.52,6.94,https://groww.in/mutual-funds/icici-prudential-savings-fund-direct-growth
535,DSP Banking &amp; PSU Debt Fund Direct Growth,"₹2,444.51Cr",20.02,Nil,3,500.0,,,100.00428306,0.0,441.65,5.96,DSP Banking &amp; PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.72,6.49,6.79,https://groww.in/mutual-funds/dsp-blackrock-banking-psu-debt-fund-direct-growth
536,SBI Corporate Bond Fund Direct Growth,"₹15,921.70Cr",12.79,Nil,3,500.0,,,100.0,0.0,540.2,6.36,SBI Corporate Bond Fund Direct Growth,Low to Moderate,Debt,2.92,6.48,,https://groww.in/mutual-funds/sbi-corporate-bond-fund-direct-plan-growth
537,Invesco India Corporate Bond Fund Direct Growth,"₹2,565.52Cr","2,728.57",Nil,3,100.0,,,100.0,0.0,598.5999999999999,6.47,Invesco India Corporate Bond Fund Direct Growth,Low to Moderate,Debt,2.54,6.46,5.9,https://groww.in/mutual-funds/invesco-india-active-i-come-fund-direct-growth
538,ICICI Prudential Banking &amp; PSU Debt Direct Growth,"₹9,926.38Cr",27.09,Nil,4,100.0,,,100.0,0.0,2412.65,6.06,ICICI Prudential Banking &amp; PSU Debt Direct Growth,Low to Moderate,Debt,3.86,6.46,6.7,https://groww.in/mutual-funds/icici-prudential-banking-psu-debt-fund-direct-growth
539,Union Corporate Bond Fund Direct Growth,₹469.96Cr,12.62,1% exit load if redeemed within 15 days.,2,469.96,,,100.0,0.0,558.45,6.03,Union Corporate Bond Fund Direct Growth,Low to Moderate,Debt,2.31,6.45,,https://groww.in/mutual-funds/union-corporate-bond-fund-direct-growth
540,ICICI Prudential Gilt Fund Direct Plan Growth,"₹2,333.94Cr",85.44,Nil,3,2333.94,,,100.0,0.0,3197.4,5.58,ICICI Prudential Gilt Fund Direct Plan Growth,Moderate,Debt,3.24,6.44,6.65,https://groww.in/mutual-funds/icici-prudential-long-term-gilt-fund-direct-growth
541,L&amp;T Conservative Hybrid Fund Direct Growth,₹35.45Cr,45.19,Exit load of 1% if units in excess of 10% are redeemed or switched-out within 1 year,3,35.45,29.56078212,4.37472333,76.52,23.48,850.45,6.51733959,L&amp;T Conservative Hybrid Fund Direct Growth,Moderately High,Hybrid,1.93,6.44,6.1,https://groww.in/mutual-funds/l-t-monthly-i-come-plan-direct-growth
542,DSP Government Securities Direct Plan Growth,₹408.09Cr,79.73,Nil,4,500.0,,,100.0,0.0,927.1,5.36,DSP Government Securities Direct Plan Growth,Moderate,Debt,2.51,6.43,7.29,https://groww.in/mutual-funds/dsp-blackrock-government-securities-fund-direct-growth
543,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund Direct Growth,₹8.75Cr,18.05,Exit load of 1% if redeemed within 1 year,,500.0,,,0.17,99.83,,,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund Direct Growth,Very High,Other,-10.79,6.43,7.18,https://groww.in/mutual-funds/hsbc-asia-pacific-ex-japan-dividend-yield-fund-direct-growth
544,IIFL Dynamic Bond Fund Direct Growth,₹576.15Cr,18.78,Nil,5,576.15,,,98.70098774,1.29901213,2116.2335,7.61,IIFL Dynamic Bond Fund Direct Growth,Moderate,Debt,3.98,6.42,6.47,https://groww.in/mutual-funds/iifl-dynamic-bond-fund-direct-growth
545,Kotak Corporate Bond Fund Direct Growth,"₹8,902.49Cr","3,139.52",Nil,4,8902.49,,,100.00609605,0.0,942.3205,6.4203,Kotak Corporate Bond Fund Direct Growth,Low to Moderate,Debt,3.32,6.42,7.09,https://groww.in/mutual-funds/kotak-corporate-bond-fund-direct-growth
546,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Growth,₹9.70Cr,31.80,0.25% for redemption within 15 days,2,100.0,,,99.98713445,0.014581,1.095,,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Growth,Moderate,Other,2.62,6.41,6.17,https://groww.in/mutual-funds/birla-sun-life-active-debt-multi-manager-fof-scheme-direct-growth
547,IDBI Banking &amp; Financial Services Fund Direct Growth,₹79.12Cr,13.01,Exit load of 1% if redeemed within 12 months.,2,500.0,18.61400063,2.49466261,1.9,98.1,,,IDBI Banking &amp; Financial Services Fund Direct Growth,Very High,Equity,-2.33,6.4,,https://groww.in/mutual-funds/idbi-banking-financial-services-fund-direct-growth
548,Kotak Dynamic Bond Fund Direct Growth,"₹2,065.01Cr",31.98,Nil,4,2065.01,,,95.4,4.6,2089.479,6.6518,Kotak Dynamic Bond Fund Direct Growth,Moderate,Debt,2.9,6.37,7.45,https://groww.in/mutual-funds/kotak-flexi-debt-scheme-direct-growth
549,Nippon India Low Duration Fund Direct Growth,"₹6,779.21Cr","3,199.69",Nil,4,100.0,,,100.00055136,0.0,247.99999825,6.07,Nippon India Low Duration Fund Direct Growth,Moderate,Debt,4.14,6.36,6.54,https://groww.in/mutual-funds/nippon-india-low-duration-fund-direct-growth
550,Tata Short Term Bond Direct Plan Growth,"₹2,378.14Cr",42.42,Nil,3,500.0,,,99.99999966,0.0,576.23465055,6.580905,Tata Short Term Bond Direct Plan Growth,Low to Moderate,Debt,2.99,6.35,5.58,https://groww.in/mutual-funds/tata-short-term-bond-fund-direct-growth
551,Franklin India Life Stage FoF The 40s Plan Direct Growth,₹16.51Cr,60.49,Exit load of 0.75% if redeemed within 1 year,1,16.51,18.45653626,2.90778208,67.70484945,32.162277,,,Franklin India Life Stage FoF The 40s Plan Direct Growth,Moderately High,Other,6.02,6.35,5.82,https://groww.in/mutual-funds/franklin-india-life-stage-40s-plan-direct-growth
552,DSP World Agriculture Direct Plan Growth,₹56.06Cr,20.07,Nil,,500.0,,,1.11,98.89,,,DSP World Agriculture Direct Plan Growth,Very High,Other,-17.92,6.34,5.79,https://groww.in/mutual-funds/dsp-blackrock-world-agriculture-fund-direct-growth
553,Aditya Birla Sun Life Low Duration Fund Direct Growth,"₹11,140.89Cr",584.32,Nil,5,100.0,,,99.99837969,0.0,419.7499999999999,6.77,Aditya Birla Sun Life Low Duration Fund Direct Growth,Moderate,Debt,4.15,6.33,7.01,https://groww.in/mutual-funds/birla-sun-life-cash-manager-direct-growth
554,Navi Regular Savings Fund Direct Growth,₹28.07Cr,25.40,"For units in excess of 15% of the investment,1% will be charged for redemption within 365 days",2,500.0,21.85528632,2.80296481,78.58480509,21.42,383.25,5.61,Navi Regular Savings Fund Direct Growth,Moderately High,Hybrid,3.68,6.31,6.0,https://groww.in/mutual-funds/navi-regular-savings-fund-direct-growth
555,Kotak Low Duration Fund Direct Growth,"₹6,965.49Cr","2,920.25",Nil,4,6965.49,,,100.0,0.0,823.4035,6.421,Kotak Low Duration Fund Direct Growth,Moderate,Debt,3.64,6.3,6.98,https://groww.in/mutual-funds/kotak-low-duration-fund-direct-growth
556,HDFC Floating Rate Debt Fund Direct Plan Growth,"₹16,399.17Cr",40.33,Nil,,300.0,,,100.0,0.0,1406.71878555,6.60498014,HDFC Floating Rate Debt Fund Direct Plan Growth,Moderate,Debt,3.34,6.3,6.8,https://groww.in/mutual-funds/hdfc-floating-rate-i-come-fund-short-term-fund-wp-direct-growth
557,IDFC Regular Savings Fund Direct Plan Growth,₹171.31Cr,27.72,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",2,100.0,25.90882191,3.69554004,78.14180955,14.89,835.85,6.25,IDFC Regular Savings Fund Direct Plan Growth,Moderate,Hybrid,1.79,6.29,5.77,https://groww.in/mutual-funds/idfc-monthly-i-come-plan-direct-growth
558,Axis Dynamic Bond Direct Fund Growth,"₹1,680.97Cr",25.67,Nil,3,1680.97,,,100.0,0.0,2741.15,7.56,Axis Dynamic Bond Direct Fund Growth,Moderate,Debt,1.49,6.29,6.88,https://groww.in/mutual-funds/axis-dynamic-bond-fund-direct-growth
559,IDFC Bond Fund Short Term Plan Direct Growth,"₹10,296.52Cr",48.88,Nil,3,10296.52,,,100.00208129,0.0,912.5,6.57,IDFC Bond Fund Short Term Plan Direct Growth,Low to Moderate,Debt,2.55,6.27,6.78,https://groww.in/mutual-funds/idfc-super-saver-i-come-fund-short-term-direct-growth
560,ICICI Prudential Debt Management Fund (FOF) Direct Plan Growth,₹171.16Cr,36.92,Exit load of 0.25% if redeemed within 15 days.,4,100.0,,,99.99999932,0.0,,,ICICI Prudential Debt Management Fund (FOF) Direct Plan Growth,Moderate,Other,2.59,6.27,6.65,https://groww.in/mutual-funds/icici-prudential-dynamic-accrual-plan-direct-growth
561,Franklin India Banking &amp; PSU Debt Fund Direct Growth,₹737.13Cr,18.87,Nil,3,500.0,,,99.99999988,0.0,494.5867603,6.20301305,Franklin India Banking &amp; PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.91,6.26,7.09,https://groww.in/mutual-funds/franklin-india-banking-psu-debt-fund-direct-growth
562,SBI Short Term Debt Fund Direct Growth,"₹11,158.64Cr",27.31,Nil,3,500.0,,,100.00455521,0.0,459.9,6.3,SBI Short Term Debt Fund Direct Growth,Low to Moderate,Debt,3.12,6.26,6.7,https://groww.in/mutual-funds/sbi-short-term-debt-fund-direct-growth
563,DSP Short Term Direct Plan Growth,"₹2,640.90Cr",40.63,Nil,3,500.0,,,100.0,0.0,430.7,5.98,DSP Short Term Direct Plan Growth,Low to Moderate,Debt,2.76,6.23,6.61,https://groww.in/mutual-funds/dsp-blackrock-short-term-fund-direct-growth
564,PGIM India Ultra Short Duration Direct Growth,₹495.74Cr,28.98,Nil,2,495.74,,,100.0,0.0,131.4,5.64,PGIM India Ultra Short Duration Direct Growth,Low to Moderate,Debt,3.88,6.22,7.34,https://groww.in/mutual-funds/pgim-india-ultra-short-duration-direct-growth
565,IDFC Government Securities Investment Plan Direct Growth,"₹1,365.87Cr",30.03,Nil,4,1365.87,,,100.00945183,0.0,1383.35,7.21,IDFC Government Securities Investment Plan Direct Growth,Moderate,Debt,1.44,6.21,7.21,https://groww.in/mutual-funds/idfc-g-sec-fund-investment-direct-growth
566,L&amp;T Triple Ace Bond Direct Growth,"₹7,219.68Cr",62.02,Exit load of 0.50% if redeeemed within 3 months,2,7219.68,,,100.0,0.0,2306.8,7.38,L&amp;T Triple Ace Bond Direct Growth,Moderate,Debt,1.98,6.17,7.19,https://groww.in/mutual-funds/l-t-triple-ace-bond-fund-direct-growth
567,Axis Gilt Fund Direct Plan Growth,₹121.00Cr,21.40,Nil,4,121.0,,,100.0,0.0,1887.05,6.35917725,Axis Gilt Fund Direct Plan Growth,Low to Moderate,Debt,2.39,6.16,6.64,https://groww.in/mutual-funds/axis-constant-maturity-10-year-fund-direct-growth
568,Invesco India Short Term Fund Direct Growth,₹596.00Cr,"3,163.74",Nil,2,596.0,,,100.0,0.0,441.65,6.29,Invesco India Short Term Fund Direct Growth,Low to Moderate,Debt,2.67,6.15,6.58,https://groww.in/mutual-funds/invesco-india-short-term-fund-direct-growth
569,Edelweiss Government Securities Fund Direct Growth,₹106.50Cr,20.56,Nil,5,500.0,,,100.0,0.0,2485.65,6.5,Edelweiss Government Securities Fund Direct Growth,Moderate,Debt,2.36,6.14,7.75,https://groww.in/mutual-funds/edelweiss-govt-securities-fund-direct-growth
570,Aditya Birla Sun Life Floating Rate Direct Fund Growth,"₹13,363.29Cr",286.20,Nil,,13363.29,,,100.0,0.0,485.45,6.72,Aditya Birla Sun Life Floating Rate Direct Fund Growth,Low to Moderate,Debt,3.85,6.14,6.82,https://groww.in/mutual-funds/birla-sun-life-floating-rate-fund-ltp-direct-growth
571,Aditya Birla Sun Life Income Fund Direct Growth,"₹1,532.87Cr",108.12,Nil,4,1532.87,,,100.0,0.0,1463.65,7.33,Aditya Birla Sun Life Income Fund Direct Growth,Low to Moderate,Debt,2.47,6.13,6.56,https://groww.in/mutual-funds/birla-sun-life-i-come-plus-direct-growth
572,HDFC Low Duration Fund Direct Plan Growth,"₹16,469.38Cr",50.16,Nil,3,300.0,,,100.0,0.0,973.9826221,6.17574599,HDFC Low Duration Fund Direct Plan Growth,Low to Moderate,Debt,3.68,6.12,6.67,https://groww.in/mutual-funds/hdfc-cash-management-fund-treasury-advantage-direct-growth
573,SBI Magnum Gilt Fund Direct Growth,"₹3,566.00Cr",54.56,Nil,5,500.0,,,100.0,0.0,740.9499999999999,5.59,SBI Magnum Gilt Fund Direct Growth,Low to Moderate,Debt,2.96,6.12,6.81,https://groww.in/mutual-funds/sbi-magnum-gilt-long-term-plan-direct-growth
574,Franklin India Corporate Debt Fund Direct Growth,₹757.25Cr,85.70,Nil,3,500.0,,,99.99999986,0.0,442.36812655,6.26861748,Franklin India Corporate Debt Fund Direct Growth,Low to Moderate,Debt,3.12,6.12,7.1,https://groww.in/mutual-funds/franklin-india-iba-direct-growth
575,SBI Banking and PSU Fund Direct Growth,"₹5,765.13Cr","2,663.02",Nil,2,500.0,,,100.0,0.0,598.5999999999999,6.26,SBI Banking and PSU Fund Direct Growth,Low to Moderate,Debt,2.47,6.11,7.09,https://groww.in/mutual-funds/sbi-treasury-advantage-fund-direct-growth
576,DSP Credit Risk Direct Plan Growth,₹249.63Cr,35.19,Exit load of 1% if units in excess of 10% are redeemed within 12 months,3,249.63,,,100.0,0.0,587.6500000000001,6.47,DSP Credit Risk Direct Plan Growth,Moderate,Debt,8.81,6.1,4.73,https://groww.in/mutual-funds/dsp-blackrock-i-come-opportunities-fund-plan-direct-growth
577,Canara Robeco Corporate Bond Fund Direct Growth,₹212.46Cr,18.90,Exit load of 0.50% if redeemed within 90 days.,3,212.46,,,99.99999998999999,0.0,602.25,6.23,Canara Robeco Corporate Bond Fund Direct Growth,Low to Moderate,Debt,2.73,6.08,6.51,https://groww.in/mutual-funds/canara-robeco-medium-term-opportunities-fund-direct-growth
578,IDFC Credit Risk Fund Direct Growth,₹694.70Cr,14.31,Exit load of 1% if redeemed within 365 days.,3,694.7,,,100.00113718,0.0,1095.0,6.32,IDFC Credit Risk Fund Direct Growth,Moderate,Debt,3.26,6.08,6.53,https://groww.in/mutual-funds/idfc-credit-opportunities-fund-direct-growth
579,L&amp;T Short Term Bond Fund Direct Growth,"₹3,895.32Cr",22.56,Nil,3,3895.32,,,100.0,0.0,584.0,6.58,L&amp;T Short Term Bond Fund Direct Growth,Low to Moderate,Debt,2.4,6.07,6.65,https://groww.in/mutual-funds/l-t-short-term-opportunities-fund-direct-growth
580,Sundaram Short Term Debt Fund Direct Plan Growth,₹361.74Cr,39.10,Nil,3,361.74,,,99.9999999,0.0,626.9194302,4.63228261,Sundaram Short Term Debt Fund Direct Plan Growth,Low to Moderate,Debt,13.68,6.07,6.42,https://groww.in/mutual-funds/sundaram-select-debt-short-term-asset-plan-direct-growth
581,Mirae Asset Short Term Fund Direct Growth,₹443.75Cr,13.33,Nil,3,443.75,,,99.99999981,0.0,459.9,6.33,Mirae Asset Short Term Fund Direct Growth,Low to Moderate,Debt,3.09,6.05,,https://groww.in/mutual-funds/mirae-asset-short-term-fund-direct-growth
582,UTI Ultra Short Term Fund Direct Growth,"₹1,947.77Cr","3,686.29",Nil,4,500.0,,,100.0,0.0,137.167,5.6842,UTI Ultra Short Term Fund Direct Growth,Moderate,Debt,6.7,6.02,5.81,https://groww.in/mutual-funds/uti-floating-rate-fund-stp-direct-growth
583,Kotak Bond Fund Direct Growth,"₹1,550.79Cr",67.41,Nil,4,1550.79,,,100.00039335,0.0,2782.249,6.9555,Kotak Bond Fund Direct Growth,Moderate,Debt,2.32,6.02,6.3,https://groww.in/mutual-funds/kotak-bond-scheme-direct-growth
584,JM Money Market Fund Direct Plan Growth,₹24.14Cr,28.75,Nil,1,24.14,,,100.0,0.0,16.3885,3.27,JM Money Market Fund Direct Plan Growth,Moderately Low,Debt,4.21,6.0,6.64,https://groww.in/mutual-funds/jm-money-market-fund-direct-growth
585,Kotak Credit Risk Fund Direct Growth,"₹1,577.67Cr",26.37,"For units in excess of 6% of the investment,1% will be charged for redemption within 365 days",3,1577.67,,,95.94,4.06,911.6239999999999,6.9964,Kotak Credit Risk Fund Direct Growth,Moderately High,Debt,2.08,5.99,6.58,https://groww.in/mutual-funds/kotak-i-come-opportunities-fund-direct-growth
586,ICICI Prudential Ultra Short Term Fund Direct Growth,"₹10,489.01Cr",24.20,Nil,5,10489.01,24.34113571,1.92388328,100.0,0.0,135.05,5.74,ICICI Prudential Ultra Short Term Fund Direct Growth,Moderate,Debt,4.25,5.99,6.8,https://groww.in/mutual-funds/icici-prudential-regular-i-come-fund-direct-growth
587,IDFC Dynamic Bond Fund Direct Growth,"₹2,504.37Cr",29.90,Nil,3,2504.37,,,100.01108063,0.0,1379.7,7.21,IDFC Dynamic Bond Fund Direct Growth,Moderate,Debt,1.37,5.97,6.71,https://groww.in/mutual-funds/idfc-dynamic-bond-fund-direct-growth
588,Baroda BNP Paribas Low Duration Fund Direct Growth,₹191.11Cr,35.40,Nil,3,500.0,,,100.0,0.0,359.8782324,6.09,Baroda BNP Paribas Low Duration Fund Direct Growth,Moderate,Debt,3.52,5.97,6.54,https://groww.in/mutual-funds/baroda-bnp-paribas-low-duration-fund-direct-growth
589,IDBI Dynamic Bond Fund Direct Growth,₹16.37Cr,19.31,Nil,3,500.0,,,100.0,0.0,2025.75,7.12,IDBI Dynamic Bond Fund Direct Growth,Moderate,Debt,2.6,5.96,5.39,https://groww.in/mutual-funds/idbi-dynamic-bond-fund-direct-growth
590,L&amp;T Banking and PSU Debt Fund Direct Growth,"₹4,396.09Cr",20.70,Nil,3,4396.09,,,100.002459,0.0,1288.45,7.1,L&amp;T Banking and PSU Debt Fund Direct Growth,Moderate,Debt,1.07,5.95,6.43,https://groww.in/mutual-funds/l-t-banking-and-psu-debt-fund-direct-growth
591,Baroda BNP Paribas Banking and Financial Services Direct Growth,₹51.91Cr,29.75,Exit load of 1% if redeemed within 12 months.,2,500.0,18.40993213,2.38456031,6.01,93.99,,,Baroda BNP Paribas Banking and Financial Services Direct Growth,Very High,Equity,-0.22,5.94,6.96,https://groww.in/mutual-funds/baroda-pioneer-banking-and-financial-services-fund-direct-growth
592,Principal Large Cap Fund Direct Growth,₹533.66Cr,14.95,"For units in excess of 24% of the investment,1% will be charged for redemption within 365 days.",,533.66,26.57982052,3.74414776,2.29,97.71,,,Principal Large Cap Fund Direct Growth,Very High,Equity,29.59,5.9,8.85,https://groww.in/mutual-funds/principal-large-cap-fund-direct-growth
593,Invesco India Credit Risk Fund Direct Growth,₹129.83Cr,"1,598.80","For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",2,129.83,,,100.0,0.0,689.8499999999999,5.73,Invesco India Credit Risk Fund Direct Growth,Low to Moderate,Debt,2.86,5.9,3.53,https://groww.in/mutual-funds/invesco-india-corporate-bond-opportunities-fund-direct-growth
594,Canara Robeco Short Duration Fund Direct Growth,₹608.98Cr,22.47,Nil,3,608.98,,,100.0,0.0,500.05,6.06,Canara Robeco Short Duration Fund Direct Growth,Low to Moderate,Debt,2.64,5.87,6.38,https://groww.in/mutual-funds/canara-robeco-yield-advantage-fund-direct-growth
595,UTI Bond Fund Direct Growth,₹294.33Cr,63.72,Nil,5,500.0,,,99.99999993,0.0,2738.522,6.8156,UTI Bond Fund Direct Growth,Moderate,Debt,16.3,5.83,3.38,https://groww.in/mutual-funds/uti-bond-fund-direct-growth
596,DSP Low Duration Fund Direct Growth,"₹3,545.07Cr",16.60,Nil,3,500.0,,,100.0,0.0,208.05,5.6,DSP Low Duration Fund Direct Growth,Low to Moderate,Debt,3.56,5.83,6.38,https://groww.in/mutual-funds/dsp-blackrock-ultra-short-term-fund-direct-growth
597,HSBC Managed Solutions India Conservative Fund Direct Growth,₹38.55Cr,17.93,Exit load of 1% if redeemed within 1 year,2,500.0,25.02833001,3.34369235,89.816708,10.183365,,,HSBC Managed Solutions India Conservative Fund Direct Growth,Moderate,Other,1.97,5.81,5.38,https://groww.in/mutual-funds/hsbc-managed-solutions-india-conservative-direct-growth
598,Axis Treasury Advantage Direct Fund Growth,"₹4,888.97Cr","2,613.15",Nil,4,4888.97,,,100.00373903,0.0,358.0000008,6.24960504,Axis Treasury Advantage Direct Fund Growth,Low to Moderate,Debt,3.78,5.81,6.71,https://groww.in/mutual-funds/axis-treasury-advantage-fund-direct-growth
599,SBI Dynamic Bond Direct Plan Growth,"₹2,313.12Cr",30.38,"For units in excess of 10% of the investment, 0.25% will be charged for redemption within 1 month",4,500.0,,,100.0,0.0,587.6500000000001,5.28,SBI Dynamic Bond Direct Plan Growth,Low to Moderate,Debt,2.79,5.78,6.64,https://groww.in/mutual-funds/sbi-dynamic-bond-fund-direct-growth
600,UTI Floater Fund Direct Growth,"₹2,255.74Cr","1,269.19",Nil,,500.0,,,99.99999983,0.0,401.938,5.8769,UTI Floater Fund Direct Growth,Low to Moderate,Debt,3.34,5.77,,https://groww.in/mutual-funds/uti-floater-fund-direct-growth
601,ICICI Prudential Savings Fund Direct Plan Growth,"₹21,429.65Cr",439.21,Nil,2,100.0,,,100.0,0.0,2193.65,5.94,ICICI Prudential Savings Fund Direct Plan Growth,Low to Moderate,Debt,2.92,5.77,6.52,https://groww.in/mutual-funds/icici-prudential-flexible-i-come-plan-direct-growth
602,Kotak Gilt Investment PF &amp; Trust Direct Growth,"₹1,672.36Cr",87.36,Nil,3,1672.36,,,100.00046043,0.0,3186.961,6.8746,Kotak Gilt Investment PF &amp; Trust Direct Growth,Low to Moderate,Debt,2.35,5.76,6.67,https://groww.in/mutual-funds/kotak-gilt-investment-pf-trust-plan-direct-growth
603,LIC MF Savings Fund Direct Growth,"₹1,230.47Cr",34.75,Nil,4,1230.47,,,99.99999979,0.0,206.8799998,5.75,LIC MF Savings Fund Direct Growth,Low to Moderate,Debt,3.56,5.74,5.7,https://groww.in/mutual-funds/lic-mf-savings-plus-fund-direct-growth
604,PGIM India Dynamic Bond Direct Plan Growth,₹130.96Cr,"2,350.33",Nil,4,130.96,,,100.0,0.0,1113.25,6.15,PGIM India Dynamic Bond Direct Plan Growth,Low to Moderate,Debt,3.11,5.74,6.64,https://groww.in/mutual-funds/pgim-india-dynamic-bond-direct-plan-growth
605,Baroda BNP Paribas Short Duration Direct Fund Growth,₹307.26Cr,25.22,Exit load of 0.25% if redeemed within 15 days,3,500.0,,,100.0,0.0,609.17794455,6.50462247,Baroda BNP Paribas Short Duration Direct Fund Growth,Low to Moderate,Debt,2.78,5.74,6.77,https://groww.in/mutual-funds/baroda-pioneer-short-term-bond-fund-direct-growth
606,Aditya Birla Sun Life Government Securities Fund Direct Plan Growth,"₹1,184.90Cr",69.00,Nil,4,1184.9,,,100.00000115,0.0,1317.65,7.36,Aditya Birla Sun Life Government Securities Fund Direct Plan Growth,Moderate,Debt,2.44,5.72,6.7,https://groww.in/mutual-funds/birla-sun-life-gppfp-direct-growth
607,Tata Income Fund Direct Growth,₹50.56Cr,71.51,Nil,3,500.0,,,99.99,0.0,2055.5863921,7.1733082,Tata Income Fund Direct Growth,Moderate,Debt,1.15,5.69,5.81,https://groww.in/mutual-funds/tata-long-term-debt-fund-direct-growth
608,DSP Corporate Bond Fund Direct Growth,"₹2,397.57Cr",13.10,Nil,3,500.0,,,100.0,0.0,1657.1,7.25,DSP Corporate Bond Fund Direct Growth,Moderate,Debt,1.09,5.67,,https://groww.in/mutual-funds/dsp-corporate-bond-fund-direct-growth
609,Invesco India Invesco Pan European Equity FoF Direct Growth,₹53.08Cr,12.58,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",3,53.08,,,2.53,97.47,,,Invesco India Invesco Pan European Equity FoF Direct Growth,Very High,Other,-7.73,5.66,3.19,https://groww.in/mutual-funds/invesco-india-pan-european-equity-fund-direct-growth
610,Aditya Birla Sun Life Savings Direct Growth,"₹14,161.38Cr",450.29,Nil,4,14161.38,,,100.0,0.0,189.8,6.37,Aditya Birla Sun Life Savings Direct Growth,Moderate,Debt,4.05,5.66,6.51,https://groww.in/mutual-funds/birla-sun-life-savings-fund-direct-growth
611,LIC MF Banking &amp; PSU Debt Fund Direct Growth,"₹1,301.09Cr",30.18,Nil,3,1301.09,,,99.99999982,0.0,296.55999975,5.85,LIC MF Banking &amp; PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.9,5.65,6.88,https://groww.in/mutual-funds/lic-mf-i-come-plus-fund-direct-growth
612,LIC MF Short Term Debt Fund Direct Growth,₹161.75Cr,12.47,Nil,2,161.75,,,99.99999994000001,0.0,438.6000016,6.17,LIC MF Short Term Debt Fund Direct Growth,Low to Moderate,Debt,2.4,5.64,,https://groww.in/mutual-funds/lic-mf-short-term-debt-fund-direct-growth
613,Quantum Dynamic Bond Fund Direct Growth,₹83.64Cr,17.10,Nil,3,500.0,,,100.0,0.0,,,Quantum Dynamic Bond Fund Direct Growth,Low to Moderate,Debt,3.29,5.64,5.81,https://groww.in/mutual-funds/quantum-dynamic-bond-fund-growth
614,Invesco India Treasury Advantage Fund Direct Growth,"₹1,596.17Cr","3,200.46",Nil,3,100.0,,,100.0,0.0,220.99999925,5.83,Invesco India Treasury Advantage Fund Direct Growth,Low to Moderate,Debt,3.47,5.63,6.46,https://groww.in/mutual-funds/invesco-india-ultra-short-term-fund-direct-growth
615,Tata Treasury Advantage Direct Plan Growth,"₹2,112.88Cr","3,277.06",Nil,2,500.0,,,100.0,0.0,308.2503913,6.02,Tata Treasury Advantage Direct Plan Growth,Low to Moderate,Debt,3.63,5.61,5.24,https://groww.in/mutual-funds/tata-floater-fund-direct-growth
616,IDFC Bond Fund Medium Term Plan Direct Growth,"₹2,299.26Cr",39.98,Nil,3,2299.26,,,100.00669346,0.0,1365.1,7.21,IDFC Bond Fund Medium Term Plan Direct Growth,Moderate,Debt,1.34,5.59,6.41,https://groww.in/mutual-funds/idfc-super-saver-i-come-fund-medium-term-direct-growth
617,Sundaram Low Duration Fund Direct Growth,₹549.95Cr,30.27,Nil,3,549.95,,,100.0,0.0,273.08366695,4.27129086,Sundaram Low Duration Fund Direct Growth,Low to Moderate,Debt,12.58,5.57,6.32,https://groww.in/mutual-funds/sundaram-ultra-short-term-direct-growth
618,L&amp;T Low Duration Fund Direct Growth,₹808.87Cr,24.08,Nil,3,808.87,,,100.0,0.0,200.75,5.89,L&amp;T Low Duration Fund Direct Growth,Low to Moderate,Debt,3.77,5.56,5.83,https://groww.in/mutual-funds/l-t-short-term-i-come-fund-direct-growth
619,Quant Dynamic Bond Fund Direct Growth,₹13.19Cr,65.47,Nil,3,13.19,38.7641691494552,6.35558410735229,99.99999998000001,0.0,139.0000008,3.26,Quant Dynamic Bond Fund Direct Growth,Low,Debt,4.44,5.55,5.4,https://groww.in/mutual-funds/quant-dynamic-bond-fund-direct-growth
